Game Name,User Rating
Chaos Theory Demo,0
Trials 2: Second Edition,57.868
Trials 2: Second Edition Demo,0
Monster Trucks Nitro ,11.64
Monster Trucks Nitro Demo,0
Insecticide Part 1,53.801
Velvet Assassin,50
Legendary,50
Sid Meier's Civilization IV: Colonization,79.87
GROUND BRANCH,80
Global Agenda: Free Agent,79.981
Tribes: Ascend,80
Children of the Nile: Enhanced Edition,70.54
Children of the Nile: Enhanced Edition Demo,0
Children of the Nile: Alexandria,42.399
Hinterland,42.286
Mosby's Confederacy,8.858
Crysis Warhead®,80
SPORE™,80
Mirror's Edge™,80
SPORE™ Creepy & Cute Parts Pack,79.995
Mass Effect (2007),80
Dead Space (2008),80
Command & Conquer™ Red Alert™ 3,80
Zombie Panic! Source,80
"Pirates, Vikings, and Knights II",80
Dystopia,79.622
Nuclear Dawn,60
Empires Mod,79.531
"Precipice of Darkness, Episode One",73.595
"Precipice of Darkness, Episode One Demo",0
"Precipice of Darkness, Episode Two",48.436
"Precipice of Darkness, Episode Two Demo",0
DeathSpank,78.998
DeathSpank: Thongs of Virtue,58.947
The Baconing,42.462
Shattered Horizon: Arconauts,0
Shattered Horizon,73.233
Unstoppable Gorg,46.066
Spectraball,54.796
Crazy Machines 2,36.098
Crazy Machines,48.118
Crazy Machines 1.5,0
Helldorado,34.097
Mata Hari,25.046
Defense Grid: The Awakening,90
Defense Grid: The Awakening Demo,3.414
Mayhem Intergalactic,6.314
Mayhem Intergalactic Demo,0
And Yet It Moves,49.914
And Yet It Moves Demo,0
Zero Gear Demo,3.494
Zero Gear,59.252
Silent Hill Homecoming,50
Puzzle Chronicles,10.865
Tank Universal,44.376
Tank Universal Demo,0
Space Ark,3.844
Eternity's Child,12.918
Eternity's Child Demo,0
Alice: Madness Returns,80
Brothers in Arms: Earned in Blood™,79.265
Tom Clancy's Rainbow Six® 3 Gold,79.993
Far Cry® 2,60
Prince of Persia®,60
Galactic Bowling,3.625
Red Faction Guerrilla Steam Edition,80
S.T.A.L.K.E.R.: Clear Sky,80
Red Faction,80
Company of Heroes: Tales of Valor,79.999
Red Faction II,49.828
World of Zoo: Animal Creator Demo,0
"Warhammer® 40,000: Dawn of War® II Chaos Rising",80
Starscape,30
Mr. Robot,27.959
Starscape Demo,0
Mr. Robot Demo,0
Shatter,79.86
The Witcher 2: Assassins of Kings Enhanced Edition,80
LEGO® Batman™: The Videogame,80
Watchmen: The End is Nigh,56.682
Watchmen: The End is Nigh Demo,0
Watchmen: The End is Nigh Part 2,35.531
F.E.A.R.,80
F.E.A.R. 3,60
LEGO® Harry Potter: Years 1-4,80
Gravitron 2,10.051
Gravitron 2 Demo,0
Project Aftermath,4.984
Project Aftermath Demo,0
Pyroblazer®,0
Pyroblazer® Demo,0
Flock! Demo,0
Street Fighter® IV,46.378
Bionic Commando,59.983
Bionic Commando: Rearmed,49.764
Resident Evil 5,80
Driver® Parallel Lines,79.813
Tom Clancy's EndWar™,79.171
Call of Juarez: Bound in Blood,80
World of Goo,80
World of Goo Demo,6.661
Mount & Blade,80
Mount and Blade Demo,12.689
Penumbra: Black Plague Gold Edition,80
Hearts of Iron 2 Complete,76.017
Penumbra: Requiem,49.665
Europa Universalis III Complete Demo,0
Europa Universalis: Rome - Gold Edition Demo,0
Hearts of Iron 2 Demo,0
Penumbra Overture,80
Zeno Clash,80
Zeno Clash Demo,0
Rock of Ages,80
Fallout 3,80
Rogue Warrior,49.964
The Elder Scrolls III: Morrowind® Game of the Year Edition,90
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,90
Call of Cthulhu®: Dark Corners of the Earth,50
BRINK,50
Fallout 3: Game of the Year Edition,80
Fallout: New Vegas,90
Hunted: The Demon’s Forge™,59.878
Spectromancer,63.604
Worms Reloaded,80
Alien Breed: Impact,59.989
Alien Breed™: Impact Demo,0
Alien Breed 2: Assault,49.631
Alien Breed 2: Assault Demo,0
Alien Breed 3: Descent,56.296
Alien Breed 3: Descent Demo,0
Worms Reloaded Demo,7.916
Fluttabyes,6.532
Yosumin!™,32.327
The Last Remnant™,80
Yosumin!™ Demo,0
Gyromancer,40.055
Imperium Romanum Gold Edition,70.774
Imperium Romanum Gold Edition Demo,0
Europa Universalis: Rome - Gold Edition,34.089
Grand Ages: Rome,58.664
Grand Ages: Rome - Reign of Augustus,0
Ceville,38.147
Grand Ages: Rome Demo,0
Tropico 3,79.991
Puzzle Quest: Galactrix,40.105
Texas Cheat'Em Demo,0
Earth Defense Force: Insect Armageddon,79.64
Depths of Peril,31.23
Depths of Peril Demo,0
Puzzle Kingdoms,39.388
Train Simulator Classic 2024,60
DC Universe™ Online,80
PAYDAY™ The Heist,80
King Arthur - The Role-playing Wargame,47.343
Crusaders: Thy Kingdom Come,9.471
Aquaria,79.948
King Arthur Demo,0
King Arthur: Fallen Champions,11.64
King Arthur II: The Role-Playing Wargame,45.75
Trainz: Classic Cabon City,9.158
Trainz Settle and Carlisle,10.865
Trainz: Murchison 2,7.817
Trainz™ Simulator 12,59.995
Command and Conquer: Red Alert 3 Demo,6.661
SPORE™ Galactic Adventures,80
SimCity™ 4 Deluxe Edition,80
Command & Conquer 3 Tiberium Wars™,80
Command & Conquer: Red Alert 3 - Uprising,80
Command & Conquer™ 3: Kane’s Wrath,90
Need for Speed: Shift,60
The Saboteur™,79.926
Overgrowth,80
Lugaru HD,55.845
Cricket Revolution,23.237
Cricket Revolution Demo,0
Eschalon: Book I,66.71
Eschalon: Book I Demo,0
Eschalon: Book II,38.236
Madballs in Babo:Invasion,61.14
Madballs Demo,0
Europa Universalis III Complete,79.995
Europa Universalis III: Divine Wind,12.689
Knights of Honor,79.999
Elven Legacy,34.227
Hearts of Iron III,60
King's Bounty: The Legend,80
Supreme Ruler 2020 Gold,42.55
East India Company,29.57
Majesty 2,49.814
Majesty Gold HD,74.782
The Maw,64.247
The Maw Demo,0
Drug Wars,7.899
Cogs,78.998
Cogs Demo,0
Braid Demo,3.746
Crayon Physics Deluxe,79.658
Crayon Physics Deluxe Demo,0
The Path,59.432
The Graveyard,47.498
The Graveyard Trial,3.613
The Path - Prologue,6.314
Fatale,24.286
Summer Athletics,9.874
Dangerous High School Girls in Trouble!™,31.606
Mevo and The Grooveriders Demo,#VALUE!
Space Giraffe,0
Gridrunner Revolution,20.181
Twin Sector,25.564
Twin Sector Demo,30.428
Booster Trooper,0
Booster Trooper Demo,31.234
Dead Horde,0
Kane & Lynch 2: Dog Days,38.51
Kane & Lynch 2 Demo,50
Yumsters 2: Around the World,22.198
Musaic Box,18.593
Between,57.421
Mightier,10.669
Blueberry Garden,13.824
Blueberry Garden Demo,32.633
Osmos,0
Osmos Demo,79.905
Guild Wars® Game of the Year Edition,0
Guild Wars Factions®,0
Guild Wars® Trilogy,0
Guild Wars Nightfall®,6.977
Guild Wars: Eye of the North®,0
Caster,0
Dark Sector,60
Wallace & Gromit’s Grand Adventures,78.745
Tales of Monkey Island: Complete Season,60.759
